SCATSA,SCATSB,DIST
970,2000,0.015592739
970,3126,0.039915788
970,3682,0.030560864
970,3685,0.012563125
2825,3120,0.036332675
2825,4030,0.009013329
2825,4032,0.01542824
2825,4034,0.024991463
2825,4035,0.030873078
2825,4040,0.046417318
2825,4043,0.060929314
2846,3001,0.058851657
2846,3662,0.060706627
2846,4030,0.065809221
2846,4321,0.061096124
2846,4335,0.05958582
3002,3001,0.00422734
3002,3662,0.006201653
3002,4035,0.03181909
3002,4263,0.008096513
3122,3120,0.007409784
3122,3126,0.034422031
3122,3127,0.013400317
3127,3120,0.02080125
3127,3126,0.021026671
3127,3180,0.029509675
3127,4057,0.021126367
3127,4063,0.011218306
3662,2820,0.01435131
3662,3001,0.0076382
3662,4030,0.037332641
3662,4321,0.023301599
3662,4335,0.008016389
3685,2000,0.003029801
3685,3126,0.027352737
3685,3682,0.017997803
3812,3804,0.004266533
3812,4040,0.007495332
4032,3120,0.020991172
4032,4030,0.006528836
4032,4034,0.009621777
4032,4035,0.015520586
4032,4040,0.031089612
4032,4043,0.045612789
4032,4057,0.020826284
4032,4321,0.011874243
4035,3001,0.036043581
4035,3120,0.005470588
4035,4030,0.022049407
4035,4034,0.005898814
4035,4040,0.015569028
4035,4043,0.030092209
4043,2000,0.04187781
4043,3120,0.024621621
4043,4030,0.052141596
4043,4034,0.035991022
4043,4040,0.014523185
4043,4273,0.008984487
4057,3180,0.008384659
4057,4063,0.009908067
4262,4263,0.010182042
4262,4264,0.019203104
4262,4266,0.029081492
4264,4263,0.009021389
4264,4266,0.009879696
4264,4270,0.005717246
4264,4324,0.014965631
4270,3682,0.064381333
4270,3804,0.029674314
4270,4040,0.0226166
4270,4272,0.013840957
4270,4324,0.020680775
4273,2000,0.050849273
4273,4272,0.014747935
4324,4034,0.022262572
