15 Minutes,Lane 1 Flow (Veh/15 Minutes),SCATS
1/10/2014 0:00,17,2000
1/10/2014 0:15,14,2000
1/10/2014 0:30,13,2000
1/10/2014 0:45,14,2000
1/10/2014 1:00,7,2000
1/10/2014 1:15,5,2000
1/10/2014 1:30,7,2000
1/10/2014 1:45,5,2000
1/10/2014 2:00,6,2000
1/10/2014 2:15,4,2000
1/10/2014 2:30,5,2000
1/10/2014 2:45,5,2000
1/10/2014 3:00,6,2000
1/10/2014 3:15,4,2000
1/10/2014 3:30,5,2000
1/10/2014 3:45,4,2000
1/10/2014 4:00,5,2000
1/10/2014 4:15,8,2000
1/10/2014 4:30,9,2000
1/10/2014 4:45,7,2000
1/10/2014 5:00,18,2000
1/10/2014 5:15,31,2000
1/10/2014 5:30,51,2000
1/10/2014 5:45,55,2000
1/10/2014 6:00,65,2000
1/10/2014 6:15,129,2000
1/10/2014 6:30,168,2000
1/10/2014 6:45,182,2000
1/10/2014 7:00,191,2000
1/10/2014 7:15,199,2000
1/10/2014 7:30,202,2000
1/10/2014 7:45,196,2000
1/10/2014 8:00,210,2000
1/10/2014 8:15,185,2000
1/10/2014 8:30,170,2000
1/10/2014 8:45,176,2000
1/10/2014 9:00,119,2000
1/10/2014 9:15,135,2000
1/10/2014 9:30,123,2000
1/10/2014 9:45,133,2000
1/10/2014 10:00,119,2000
1/10/2014 10:15,102,2000
1/10/2014 10:30,53,2000
1/10/2014 10:45,72,2000
1/10/2014 11:00,73,2000
1/10/2014 11:15,56,2000
1/10/2014 11:30,48,2000
1/10/2014 11:45,62,2000
1/10/2014 12:00,76,2000
1/10/2014 12:15,54,2000
1/10/2014 12:30,124,2000
1/10/2014 12:45,104,2000
1/10/2014 13:00,55,2000
1/10/2014 13:15,67,2000
1/10/2014 13:30,70,2000
1/10/2014 13:45,73,2000
1/10/2014 14:00,69,2000
1/10/2014 14:15,68,2000
1/10/2014 14:30,86,2000
1/10/2014 14:45,80,2000
1/10/2014 15:00,80,2000
1/10/2014 15:15,89,2000
1/10/2014 15:30,69,2000
1/10/2014 15:45,118,2000
1/10/2014 16:00,106,2000
1/10/2014 16:15,102,2000
1/10/2014 16:30,107,2000
1/10/2014 16:45,121,2000
1/10/2014 17:00,120,2000
1/10/2014 17:15,104,2000
1/10/2014 17:30,123,2000
1/10/2014 17:45,125,2000
1/10/2014 18:00,112,2000
1/10/2014 18:15,71,2000
1/10/2014 18:30,70,2000
1/10/2014 18:45,69,2000
1/10/2014 19:00,77,2000
1/10/2014 19:15,95,2000
1/10/2014 19:30,82,2000
1/10/2014 19:45,56,2000
1/10/2014 20:00,63,2000
1/10/2014 20:15,67,2000
1/10/2014 20:30,54,2000
1/10/2014 20:45,65,2000
1/10/2014 21:00,68,2000
1/10/2014 21:15,58,2000
1/10/2014 21:30,50,2000
1/10/2014 21:45,65,2000
1/10/2014 22:00,46,2000
1/10/2014 22:15,30,2000
1/10/2014 22:30,32,2000
1/10/2014 22:45,43,2000
1/10/2014 23:00,39,2000
1/10/2014 23:15,16,2000
1/10/2014 23:30,8,2000
1/10/2014 23:45,22,2000
1/10/2014 0:00,15,2000
1/10/2014 0:15,8,2000
1/10/2014 0:30,12,2000
1/10/2014 0:45,6,2000
1/10/2014 1:00,12,2000
1/10/2014 1:15,6,2000
1/10/2014 1:30,5,2000
1/10/2014 1:45,7,2000
1/10/2014 2:00,3,2000
1/10/2014 2:15,2,2000
1/10/2014 2:30,5,2000
1/10/2014 2:45,7,2000
1/10/2014 3:00,11,2000
1/10/2014 3:15,5,2000
1/10/2014 3:30,5,2000
1/10/2014 3:45,9,2000
1/10/2014 4:00,5,2000
1/10/2014 4:15,10,2000
1/10/2014 4:30,10,2000
1/10/2014 4:45,14,2000
1/10/2014 5:00,26,2000
1/10/2014 5:15,34,2000
1/10/2014 5:30,57,2000
1/10/2014 5:45,70,2000
1/10/2014 6:00,111,2000
1/10/2014 6:15,149,2000
1/10/2014 6:30,184,2000
1/10/2014 6:45,195,2000
1/10/2014 7:00,214,2000
1/10/2014 7:15,221,2000
1/10/2014 7:30,229,2000
1/10/2014 7:45,194,2000
1/10/2014 8:00,225,2000
1/10/2014 8:15,191,2000
1/10/2014 8:30,191,2000
1/10/2014 8:45,186,2000
1/10/2014 9:00,143,2000
1/10/2014 9:15,123,2000
1/10/2014 9:30,111,2000
1/10/2014 9:45,91,2000
1/10/2014 10:00,95,2000
1/10/2014 10:15,109,2000
1/10/2014 10:30,110,2000
1/10/2014 10:45,112,2000
1/10/2014 11:00,108,2000
1/10/2014 11:15,88,2000
1/10/2014 11:30,118,2000
1/10/2014 11:45,130,2000
1/10/2014 12:00,109,2000
1/10/2014 12:15,99,2000
1/10/2014 12:30,92,2000
1/10/2014 12:45,88,2000
1/10/2014 13:00,125,2000
1/10/2014 13:15,100,2000
1/10/2014 13:30,117,2000
1/10/2014 13:45,98,2000
1/10/2014 14:00,132,2000
1/10/2014 14:15,90,2000
1/10/2014 14:30,80,2000
1/10/2014 14:45,122,2000
1/10/2014 15:00,87,2000
1/10/2014 15:15,107,2000
1/10/2014 15:30,120,2000
1/10/2014 15:45,102,2000
1/10/2014 16:00,122,2000
1/10/2014 16:15,117,2000
1/10/2014 16:30,133,2000
1/10/2014 16:45,121,2000
1/10/2014 17:00,131,2000
1/10/2014 17:15,160,2000
1/10/2014 17:30,147,2000
1/10/2014 17:45,141,2000
1/10/2014 18:00,178,2000
1/10/2014 18:15,162,2000
1/10/2014 18:30,151,2000
1/10/2014 18:45,125,2000
1/10/2014 19:00,100,2000
1/10/2014 19:15,78,2000
1/10/2014 19:30,86,2000
1/10/2014 19:45,64,2000
1/10/2014 20:00,65,2000
1/10/2014 20:15,76,2000
1/10/2014 20:30,71,2000
1/10/2014 20:45,72,2000
1/10/2014 21:00,90,2000
1/10/2014 21:15,60,2000
1/10/2014 21:30,80,2000
1/10/2014 21:45,73,2000
1/10/2014 22:00,63,2000
1/10/2014 22:15,52,2000
1/10/2014 22:30,38,2000
1/10/2014 22:45,35,2000
1/10/2014 23:00,29,2000
1/10/2014 23:15,39,2000
1/10/2014 23:30,24,2000
1/10/2014 23:45,24,2000
1/10/2014 0:00,10,2000
1/10/2014 0:15,14,2000
1/10/2014 0:30,15,2000
1/10/2014 0:45,6,2000
1/10/2014 1:00,6,2000
1/10/2014 1:15,5,2000
1/10/2014 1:30,8,2000
1/10/2014 1:45,4,2000
1/10/2014 2:00,9,2000
1/10/2014 2:15,2,2000
1/10/2014 2:30,4,2000
1/10/2014 2:45,0,2000
1/10/2014 3:00,3,2000
1/10/2014 3:15,3,2000
1/10/2014 3:30,6,2000
1/10/2014 3:45,0,2000
